ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9898402,HX548484,12/17/2014 10:00:00 PM,017XX E 77TH ST,0820,THEFT,$500 AND UNDER,APARTMENT,false,false,0414,004,8,43,06,1188966,1854303,2014,12/24/2014 12:48:14 PM,41.755267311,-87.583052932,"(41.755267311, -87.583052932)"
9895906,HX546329,12/17/2014 10:00:00 PM,071XX S EAST END AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,0324,003,8,43,14,1188729,1857991,2014,12/24/2014 12:48:14 PM,41.765393176,-87.5838037,"(41.765393176, -87.5838037)"
9896014,HX546336,12/17/2014 10:00:00 PM,021XX N CAMPBELL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,1431,014,1,22,08B,1159498,1914209,2014,12/24/2014 12:48:14 PM,41.92031059,-87.689399632,"(41.92031059, -87.689399632)"
9896238,HX546640,12/17/2014 10:00:00 PM,050XX W JACKSON BLVD,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,1533,015,28,25,06,1143142,1898168,2014,12/24/2014 12:48:14 PM,41.876613543,-87.749895993,"(41.876613543, -87.749895993)"
9896807,HX546909,12/17/2014 10:00:00 PM,047XX N RACINE AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1913,019,46,3,06,1167414,1931676,2014,12/24/2014 12:48:14 PM,41.968074037,-87.659810594,"(41.968074037, -87.659810594)"
9895895,HX546294,12/17/2014 09:55:00 PM,083XX S WESTERN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,true,true,0614,006,18,70,08B,1161860,1849395,2014,12/24/2014 12:48:14 PM,41.742404762,-87.682525325,"(41.742404762, -87.682525325)"
9895969,HX546281,12/17/2014 09:55:00 PM,099XX S YATES AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,0431,004,7,51,03,1194095,1839442,2014,12/24/2014 12:48:14 PM,41.714363139,-87.564743201,"(41.714363139, -87.564743201)"
9895936,HX546272,12/17/2014 09:54:00 PM,051XX S ADA ST,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,false,false,0934,009,16,61,04B,1168165,1870473,2014,12/24/2014 12:48:14 PM,41.800112312,-87.658818031,"(41.800112312, -87.658818031)"
9899406,HX546286,12/17/2014 09:50:00 PM,018XX W GARFIELD BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0715,007,15,67,08B,1164805,1868027,2014,12/24/2014 12:48:14 PM,41.793471881,-87.671209252,"(41.793471881, -87.671209252)"
9895868,HX546284,12/17/2014 09:50:00 PM,021XX W AINSLIE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,TAXICAB,false,false,2032,020,47,4,11,1161407,1932566,2014,12/24/2014 12:48:14 PM,41.970643693,-87.681872988,"(41.970643693, -87.681872988)"
9895911,HX546305,12/17/2014 09:48:00 PM,058XX W WABANSIA AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,false,false,2531,025,29,25,15,1136962,1910661,2014,12/24/2014 12:48:14 PM,41.911008965,-87.772287388,"(41.911008965, -87.772287388)"
9895806,HX546265,12/17/2014 09:45:00 PM,046XX N SHERIDAN RD,1310,CRIMINAL DAMAGE,TO PROPERTY,GROCERY FOOD STORE,false,false,1914,019,46,3,14,1168826,1930792,2014,12/24/2014 12:48:14 PM,41.965617737,-87.654644546,"(41.965617737, -87.654644546)"
9895884,HX546270,12/17/2014 09:40:00 PM,046XX W JACKSON BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,1131,011,24,25,14,1145312,1898242,2014,12/24/2014 12:48:14 PM,41.876775854,-87.74192648,"(41.876775854, -87.74192648)"
9895894,HX546258,12/17/2014 09:40:00 PM,023XX S MARSHALL BLVD,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,false,true,1033,010,12,30,26,1157038,1888118,2014,12/24/2014 12:48:14 PM,41.848764738,-87.699146591,"(41.848764738, -87.699146591)"
9895861,HX546240,12/17/2014 09:40:00 PM,034XX W CHICAGO AVE,5011,OTHER OFFENSE,LICENSE VIOLATION,SMALL RETAIL STORE,false,false,1121,011,27,23,26,1153001,1905155,2014,12/24/2014 12:48:14 PM,41.895596975,-87.713511306,"(41.895596975, -87.713511306)"
9895948,HX546395,12/17/2014 09:40:00 PM,050XX N MOODY AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,true,1622,016,45,11,26,1134248,1933043,2014,12/24/2014 12:48:14 PM,41.972475893,-87.781728748,"(41.972475893, -87.781728748)"
9895828,HX546276,12/17/2014 09:36:00 PM,018XX S PULASKI RD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,1012,010,24,29,18,1149959,1891009,2014,12/24/2014 12:48:14 PM,41.856838519,-87.725052161,"(41.856838519, -87.725052161)"
9897958,HX547750,12/17/2014 09:30:00 PM,063XX S DR MARTIN LUTHER KING JR DR,0460,BATTERY,SIMPLE,SIDEWALK,false,false,0312,003,20,69,08B,1179970,1863039,2014,12/24/2014 12:48:14 PM,41.779450362,-87.615753464,"(41.779450362, -87.615753464)"
9895819,HX546280,12/17/2014 09:30:00 PM,041XX W DICKENS AVE,4625,OTHER OFFENSE,PAROLE VIOLATION,STREET,true,false,2525,025,30,20,26,1148449,1913673,2014,12/24/2014 12:48:14 PM,41.919060244,-87.730009841,"(41.919060244, -87.730009841)"
9895883,HX546260,12/17/2014 09:30:00 PM,012XX S INDEPENDENCE BLVD,0560,ASSAULT,SIMPLE,STREET,true,false,1011,010,24,29,08A,1151482,1894383,2014,12/24/2014 12:48:14 PM,41.866067426,-87.719373309,"(41.866067426, -87.719373309)"
9896165,HX546570,12/17/2014 09:30:00 PM,001XX N ADA ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,1224,012,27,28,26,1167433,1901467,2014,12/24/2014 12:48:14 PM,41.885178508,-87.660612186,"(41.885178508, -87.660612186)"
9895846,HX546267,12/17/2014 09:30:00 PM,010XX W CATALPA AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,true,2023,020,48,77,08B,1168049,1936659,2014,12/24/2014 12:48:14 PM,41.981733812,-87.657331172,"(41.981733812, -87.657331172)"
9898763,HX549117,12/17/2014 09:30:00 PM,008XX W RANDOLPH ST,0810,THEFT,OVER $500,BAR OR TAVERN,false,false,1224,012,27,28,06,1170925,1901292,2014,12/24/2014 12:48:14 PM,41.884622462,-87.647794179,"(41.884622462, -87.647794179)"
9895858,HX546264,12/17/2014 09:30:00 PM,031XX W POLK ST,2017,NARCOTICS,MANU/DELIVER:CRACK,SIDEWALK,true,false,1134,011,24,27,18,1155667,1896242,2014,12/24/2014 12:48:14 PM,41.871085559,-87.703959736,"(41.871085559, -87.703959736)"
9895923,HX546333,12/17/2014 09:20:00 PM,056XX W CORNELIA AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1633,016,38,15,08B,1138174,1922746,2014,12/24/2014 12:48:14 PM,41.944149682,-87.767541897,"(41.944149682, -87.767541897)"
9895850,HX546246,12/17/2014 09:20:00 PM,027XX N MILWAUKEE AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,1412,014,35,22,08B,1153911,1917950,2014,12/24/2014 12:48:14 PM,41.930689483,-87.709827443,"(41.930689483, -87.709827443)"
9895830,HX546261,12/17/2014 09:20:00 PM,008XX N LEAMINGTON AVE,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,true,false,1531,015,37,25,24,1141909,1905116,2014,12/24/2014 12:48:14 PM,41.895702617,-87.754251083,"(41.895702617, -87.754251083)"
9895869,HX546308,12/17/2014 09:20:00 PM,051XX S TALMAN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0923,009,14,63,14,1159533,1870553,2014,12/24/2014 12:48:14 PM,41.800513358,-87.690472059,"(41.800513358, -87.690472059)"
9895836,HX546253,12/17/2014 09:14:00 PM,063XX N BROADWAY,0554,ASSAULT,AGG PO HANDS NO/MIN INJURY,PARKING LOT/GARAGE(NON.RESID.),true,false,2433,024,40,77,08A,1167107,1942343,2014,12/24/2014 12:48:14 PM,41.997351192,-87.660631363,"(41.997351192, -87.660631363)"
9895839,HX546250,12/17/2014 09:13:00 PM,048XX W ALTGELD ST,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK,true,false,2521,025,31,19,24,1143464,1916235,2014,12/24/2014 12:48:14 PM,41.926185409,-87.748261281,"(41.926185409, -87.748261281)"
9895874,HX546257,12/17/2014 09:10:00 PM,012XX W ROOSEVELT RD,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,CONVENIENCE STORE,false,false,1233,012,2,28,11,1168429,1894806,2014,12/24/2014 12:48:14 PM,41.866878732,-87.657147425,"(41.866878732, -87.657147425)"
9895859,HX546245,12/17/2014 09:10:00 PM,048XX N LINCOLN AVE,0895,THEFT,FROM COIN-OP MACHINE/DEVICE,BAR OR TAVERN,false,false,2031,020,47,4,06,1159215,1932514,2014,12/24/2014 12:48:14 PM,41.970546458,-87.689934583,"(41.970546458, -87.689934583)"
9895789,HX546223,12/17/2014 09:10:00 PM,068XX S STATE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,0322,003,20,69,08B,1177504,1859596,2014,12/24/2014 12:48:14 PM,41.770058518,-87.624898015,"(41.770058518, -87.624898015)"
9895787,HX546238,12/17/2014 09:10:00 PM,041XX W WILCOX ST,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,true,false,1115,011,28,26,18,1148702,1899052,2014,12/24/2014 12:48:14 PM,41.878933812,-87.729458405,"(41.878933812, -87.729458405)"
9897158,HX547465,12/17/2014 09:00:00 PM,020XX W WELLINGTON AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1931,019,32,5,06,1161919,1919950,2014,12/24/2014 12:48:14 PM,41.936014034,-87.680343789,"(41.936014034, -87.680343789)"
